epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,4640.39,1.30233,0.89237,0.96505,0.54845,0.45262,0.441,0.26184,1.26897,0.95278,0.94984,0.00806419,0.00268806,0.00806419,0.00268806,0.00806419,0.00268806,0.00806419,0.00268806
81,4691.85,1.31903,0.89666,0.96571,0.55426,0.44753,0.44064,0.26103,1.27065,0.95277,0.95032,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
82,4742.33,1.30607,0.88089,0.96281,0.55174,0.44683,0.43929,0.2605,1.27022,0.95647,0.95047,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
83,4796.63,1.2888,0.87734,0.95856,0.56634,0.43971,0.44097,0.26147,1.27398,0.95371,0.95113,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404
84,4856.31,1.29633,0.87637,0.95795,0.55197,0.44656,0.44033,0.26106,1.27197,0.95323,0.95064,0.00673887,0.00224629,0.00673887,0.00224629,0.00673887,0.00224629,0.00673887,0.00224629
85,4915.62,1.29897,0.87948,0.96571,0.55639,0.44163,0.4398,0.25997,1.27124,0.95113,0.94899,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
86,4965.38,1.28413,0.85925,0.95684,0.54458,0.44444,0.43963,0.26007,1.27165,0.95354,0.95033,0.00610989,0.00203663,0.00610989,0.00203663,0.00610989,0.00203663,0.00610989,0.00203663
87,5017.42,1.28968,0.8703,0.9571,0.5557,0.44104,0.43948,0.2607,1.27162,0.95231,0.95013,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486
88,5071.65,1.28134,0.85526,0.95564,0.54261,0.44652,0.44093,0.26097,1.27283,0.95847,0.95037,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
89,5127.3,1.28223,0.85071,0.95182,0.54457,0.44756,0.43956,0.25999,1.27488,0.95669,0.95175,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
90,5179.54,1.26708,0.8449,0.95254,0.54461,0.45212,0.4407,0.26113,1.27154,0.95046,0.95036,0.00492793,0.00164264,0.00492793,0.00164264,0.00492793,0.00164264,0.00492793,0.00164264
91,5234.05,1.27675,0.84248,0.9531,0.55542,0.44545,0.43889,0.25971,1.27223,0.95626,0.95025,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
92,5286.93,1.25257,0.8352,0.95316,0.54144,0.45015,0.43791,0.25917,1.27243,0.95844,0.95048,0.00437819,0.0014594,0.00437819,0.0014594,0.00437819,0.0014594,0.00437819,0.0014594
93,5339.6,1.27166,0.83864,0.95414,0.54827,0.44997,0.4386,0.25839,1.27397,0.95903,0.95037,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
94,5392.25,1.27389,0.83792,0.95061,0.53632,0.45494,0.4377,0.25844,1.27421,0.95994,0.95037,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
95,5449.24,1.27274,0.84555,0.95785,0.54432,0.449,0.4387,0.25842,1.27614,0.95962,0.9503,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313
96,5498.89,1.27385,0.84073,0.95386,0.54754,0.44543,0.43872,0.25832,1.27581,0.95973,0.95056,0.0033687,0.0011229,0.0033687,0.0011229,0.0033687,0.0011229,0.0033687,0.0011229
97,5549.08,1.259,0.83499,0.95033,0.54262,0.45169,0.43723,0.25818,1.27442,0.95855,0.95077,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
98,5607.47,1.27212,0.83449,0.94986,0.55168,0.44898,0.43927,0.25912,1.27495,0.95905,0.95082,0.00291173,0.000970575,0.00291173,0.000970575,0.00291173,0.000970575,0.00291173,0.000970575
99,5673.08,1.27217,0.83058,0.94733,0.54771,0.44949,0.43749,0.2576,1.27598,0.96573,0.95135,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581
100,5733.71,1.25015,0.81753,0.94837,0.54245,0.45191,0.43745,0.25792,1.27628,0.96345,0.95185,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
101,5792.05,1.26727,0.8355,0.95139,0.53578,0.45394,0.43656,0.25775,1.27738,0.96358,0.9517,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
102,5844.63,1.25861,0.82451,0.94927,0.53648,0.45486,0.4372,0.2586,1.27577,0.96173,0.95115,0.00209957,0.000699855,0.00209957,0.000699855,0.00209957,0.000699855,0.00209957,0.000699855
103,5898.24,1.25361,0.81843,0.9472,0.53453,0.45529,0.43683,0.25831,1.27596,0.961,0.95119,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
104,5961.96,1.24497,0.82197,0.94671,0.54027,0.44948,0.43542,0.2572,1.27613,0.96105,0.95137,0.00174661,0.000582203,0.00174661,0.000582203,0.00174661,0.000582203,0.00174661,0.000582203
105,6023.2,1.24551,0.81183,0.94248,0.53887,0.45011,0.43486,0.2566,1.27784,0.96311,0.95177,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
106,6093.59,1.25469,0.84988,0.93287,0.53569,0.44656,0.43309,0.25532,1.28044,0.96578,0.95266,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
